id_pedido,id_cliente,produto,quantidade,preco_unitario,data_venda
9681,48,Boné,5,243.7,2024-02-23
4284,27,Jaqueta,5,409.83,2024-02-28
6738,26,Tênis,5,143.75,2024-02-17
6011,17,Jaqueta,1,364.0,2024-02-17
2461,19,Jaqueta,1,401.83,2024-02-12
1156,7,Boné,2,371.89,2024-02-07
3969,13,Tênis,4,467.22,2024-02-01
6432,13,Jaqueta,2,479.8,2024-02-12
6857,45,Tênis,5,63.97,2024-02-05
7446,23,Jaqueta,1,287.31,2024-02-06
5724,40,Jaqueta,4,241.78,2024-02-24
3208,32,Boné,2,406.25,2024-02-26
8060,6,Tênis,3,406.53,2024-02-26
6950,3,Tênis,1,418.97,2024-02-26
5266,33,Tênis,1,496.91,2024-02-26
2620,44,Camisa,3,154.76,2024-02-22
7525,40,Tênis,5,154.77,2024-02-12
6263,4,Jaqueta,5,67.26,2024-02-20
9826,4,Tênis,3,194.75,2024-02-01
3742,8,Jaqueta,5,117.99,2024-02-03
4051,21,Jaqueta,5,472.06,2024-02-04
9317,42,Calça,4,235.27,2024-02-07
2410,31,Jaqueta,4,402.74,2024-02-02
4799,43,Boné,1,153.08,2024-02-23
4397,33,Calça,2,270.21,2024-02-08
4126,13,Calça,4,127.33,2024-02-25
3180,27,Tênis,1,299.32,2024-02-05
1812,21,Calça,1,181.9,2024-02-25
5091,3,Boné,4,64.17,2024-02-15
5136,11,Boné,3,368.05,2024-02-27
4091,25,Boné,2,103.69,2024-02-02
9009,18,Boné,3,475.0,2024-02-22
8919,36,Camisa,2,291.21,2024-02-16
9336,42,Tênis,2,146.66,2024-02-15
1418,41,Calça,3,277.09,2024-02-24
3548,8,Jaqueta,1,443.35,2024-02-12
5256,47,Boné,5,305.76,2024-02-22
7170,34,Calça,3,295.51,2024-02-20
2216,43,Jaqueta,2,298.24,2024-02-14
2890,14,Jaqueta,3,315.65,2024-02-12
4597,48,Tênis,3,182.58,2024-02-22
2002,46,Boné,4,216.23,2024-02-09
2088,25,Jaqueta,5,208.16,2024-02-24
7133,6,Camisa,5,122.41,2024-02-07
6517,48,Jaqueta,5,440.81,2024-02-03
7054,37,Jaqueta,3,207.11,2024-02-12
6971,36,Camisa,5,250.33,2024-02-04
4605,17,Jaqueta,3,450.07,2024-02-07
5711,28,Tênis,3,241.25,2024-02-07
3616,25,Tênis,3,88.82,2024-02-04
